Volcano Name,Country,iso_alpha,Latitude,Longitude,VElevation,VType,VEI,Eruption_Year,Century,Deaths
Dama Ali,Ethiopia,ETH,11.28,41.63,1068,Shield,4,1631,1600s,50
"Fournaise, Piton de la",France,FRA,-21.231,55.713,2632,Shield,2,1972,1900s,3
Pelée,France,FRA,14.82,-61.17,1397,Stratovolcano,4,1902,1900s,23
Pelée,France,FRA,14.82,-61.17,1397,Stratovolcano,4,1902,1900s,400
Pelée,France,FRA,14.82,-61.17,1397,Stratovolcano,4,1902,1900s,28000
Pelée,France,FRA,14.82,-61.17,1397,Stratovolcano,4,1902,1900s,1350
Pelée,France,FRA,14.82,-61.17,1397,Stratovolcano,4,1902,1900s,15
Pelée,France,FRA,14.82,-61.17,1397,Stratovolcano,4,1902,1900s,15
Santorini,Greece,GRC,36.404,25.396,367,Shield(s),2,1866,1800s,1
Santorini,Greece,GRC,36.404,25.396,367,Shield(s),4,1650,1600s,50
Santorini,Greece,GRC,36.404,25.396,367,Shield(s),4,1650,1600s,20
Santorini,Greece,GRC,36.404,25.396,367,Shield(s),4,1650,1600s,50
Santa María,Guatemala,GTM,14.756,-91.552,3772,Stratovolcano,3,1922,1900s,21
Santa María,Guatemala,GTM,14.756,-91.552,3772,Stratovolcano,3,1922,1900s,26
Santa María,Guatemala,GTM,14.756,-91.552,3772,Stratovolcano,3,1922,1900s,1
Santa María,Guatemala,GTM,14.756,-91.552,3772,Stratovolcano,3,1922,1900s,4
Fuego,Guatemala,GTM,14.473,-90.88,3763,Stratovolcano,3,1963,1900s,7
Fuego,Guatemala,GTM,14.473,-90.88,3763,Stratovolcano,3,1971,1900s,11
Pacaya,Guatemala,GTM,14.381,-90.601,2552,Complex,3,1990,1900s,1
Pacaya,Guatemala,GTM,14.381,-90.601,2552,Complex,3,2004,2000s,1
Pacaya,Guatemala,GTM,14.381,-90.601,2552,Complex,3,2004,2000s,2
Fuego,Guatemala,GTM,14.473,-90.88,3763,Stratovolcano,4,1974,1900s,3
Fuego,Guatemala,GTM,14.473,-90.88,3763,Stratovolcano,4,1974,1900s,15
Santa María,Guatemala,GTM,14.756,-91.552,3772,Stratovolcano,6,1902,1900s,2000
Santa María,Guatemala,GTM,14.756,-91.552,3772,Stratovolcano,6,1902,1900s,105
Santa María,Guatemala,GTM,14.756,-91.552,3772,Stratovolcano,6,1902,1900s,350
Santa María,Guatemala,GTM,14.756,-91.552,3772,Stratovolcano,6,1902,1900s,2000
Agua,Guatemala,GTM,14.465,-90.743,3760,Stratovolcano,3,1541,1500s,600
Grímsvötn,Iceland,ISL,64.42,-17.33,1725,Caldera,2,1629,1600s,4
Grímsvötn,Iceland,ISL,64.42,-17.33,1725,Caldera,2,1684,1600s,1
Vestmannaeyjar,Iceland,ISL,63.43,-20.28,279,Submarine(es),3,1973,1900s,1
Hekla,Iceland,ISL,63.98,-19.7,1491,Stratovolcano,4,1510,1500s,1
Hekla,Iceland,ISL,63.98,-19.7,1491,Stratovolcano,4,1947,1900s,1
Grímsvötn,Iceland,ISL,64.42,-17.33,1725,Caldera,4,1783,1700s,9350
Öraefajökull,Iceland,ISL,64,-16.65,2119,Stratovolcano,4,1727,1700s,3
Katla,Iceland,ISL,63.63,-19.05,1512,Subglacial,5,1755,1700s,2
Grímsvötn,Iceland,ISL,64.42,-17.33,1725,Caldera,6,1861,1800s,1
Esjufjöll,Iceland,ISL,64.27,-16.65,1760,Stratovolcano,5,1927,1900s,1
Krakatau,Indonesia,IDN,-6.102,105.423,813,Caldera,1,1992,1900s,1
Papandayan,Indonesia,IDN,-7.32,107.73,2665,Stratovolcano(es),1,1923,1900s,1
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,1,1939,1900s,10
